x,laplace
0,0.0
0.01,0.00398936
0.02,0.00797831
0.03,0.01196647
0.04,0.01595344
0.05,0.01993881
0.06,0.02392218
0.07,0.02790317
0.08,0.03188137
0.09,0.03585639
0.1,0.03982784
0.11,0.04379531
0.12,0.04775843
0.13,0.05171679
0.14,0.05567
0.15,0.05961769
0.16,0.06355946
0.17,0.06749493
0.18,0.07142372
0.19,0.07534543
0.2,0.07925971
0.21,0.08316616
0.22,0.08706442
0.23,0.09095412
0.24,0.09483487
0.25,0.09870633
0.26,0.10256811
0.27,0.10641987
0.28,0.11026125
0.29,0.11409188
0.3,0.11791142
0.31,0.12171952
0.32,0.12551583
0.33,0.12930002
0.34,0.13307174
0.35,0.13683065
0.36,0.14057643
0.37,0.14430875
0.38,0.14802729
0.39,0.15173173
0.4,0.15542174
0.41,0.15909703
0.42,0.16275727
0.43,0.16640218
0.44,0.17003145
0.45,0.17364478
0.46,0.17724189
0.47,0.18082249
0.48,0.1843863
0.49,0.18793305
0.5,0.19146246
0.51,0.19497427
0.52,0.19846821
0.53,0.20194403
0.54,0.20540148
0.55,0.20884031
0.56,0.21226028
0.57,0.21566115
0.58,0.21904269
0.59,0.22240468
0.6,0.22574688
0.61,0.2290691
0.62,0.23237111
0.63,0.23565271
0.64,0.2389137
0.65,0.24215389
0.66,0.24537309
0.67,0.2485711
0.68,0.25174777
0.69,0.25490291
0.7,0.25803635
0.71,0.26114793
0.72,0.2642375
0.73,0.26730491
0.74,0.27035
0.75,0.27337265
0.76,0.27637271
0.77,0.27935005
0.78,0.28230456
0.79,0.28523612
0.8,0.2881446
0.81,0.29102991
0.82,0.29389195
0.83,0.29673061
0.84,0.29954581
0.85,0.30233746
0.86,0.30510548
0.87,0.3078498
0.88,0.31057035
0.89,0.31326706
0.9,0.31593987
0.91,0.31858875
0.92,0.32121362
0.93,0.32381446
0.94,0.32639122
0.95,0.32894387
0.96,0.33147239
0.97,0.33397675
0.98,0.33645694
0.99,0.33891294
1.0,0.34134475
1.01,0.34375235
1.02,0.34613577
1.03,0.348495
1.04,0.35083005
1.05,0.35314094
1.06,0.3554277
1.07,0.35769035
1.08,0.35992891
1.09,0.36214343
1.1,0.36433394
1.11,0.36650049
1.12,0.36864312
1.13,0.37076189
1.14,0.37285685
1.15,0.37492806
1.16,0.3769756
1.17,0.37899952
1.18,0.38099989
1.19,0.3829768
1.2,0.38493033
1.21,0.38686055
1.22,0.38876756
1.23,0.39065145
1.24,0.3925123
1.25,0.39435023
1.26,0.39616532
1.27,0.39795768
1.28,0.39972743
1.29,0.40147467
1.3,0.40319952
1.31,0.40490208
1.32,0.40658249
1.33,0.40824086
1.34,0.40987733
1.35,0.41149201
1.36,0.41308504
1.37,0.41465655
1.38,0.41620668
1.39,0.41773556
1.4,0.41924334
1.41,0.42073016
1.42,0.42219616
1.43,0.42364149
1.44,0.4250663
1.45,0.42647074
1.46,0.42785496
1.47,0.42921912
1.48,0.43056338
1.49,0.43188788
1.5,0.4331928
1.51,0.43447829
1.52,0.43574451
1.53,0.43699164
1.54,0.43821982
1.55,0.43942924
1.56,0.44062006
1.57,0.44179244
1.58,0.44294657
1.59,0.4440826
1.6,0.44520071
1.61,0.44630107
1.62,0.44738386
1.63,0.44844925
1.64,0.44949742
1.65,0.45052853
1.66,0.45154277
1.67,0.45254032
1.68,0.45352134
1.69,0.45448602
1.7,0.45543454
1.71,0.45636706
1.72,0.45728378
1.73,0.45818486
1.74,0.45907049
1.75,0.45994084
1.76,0.4607961
1.77,0.46163643
1.78,0.46246202
1.79,0.46327304
1.8,0.46406968
1.81,0.46485211
1.82,0.4656205
1.83,0.46637503
1.84,0.46711588
1.85,0.46784323
1.86,0.46855724
1.87,0.46925809
1.88,0.46994596
1.89,0.47062102
1.9,0.47128344
1.91,0.47193339
1.92,0.47257105
1.93,0.47319658
1.94,0.47381016
1.95,0.47441194
1.96,0.4750021
1.97,0.47558081
1.98,0.47614824
1.99,0.47670453
2.0,0.47724987
2.01,0.47778441
2.02,0.47830831
2.03,0.47882173
2.04,0.47932484
2.05,0.47981778
2.06,0.48030073
2.07,0.48077383
2.08,0.48123723
2.09,0.4816911
2.1,0.48213558
2.11,0.48257082
2.12,0.48299698
2.13,0.48341419
2.14,0.48382262
2.15,0.48422239
2.16,0.48461367
2.17,0.48499658
2.18,0.48537127
2.19,0.48573788
2.2,0.48609655
2.21,0.48644742
2.22,0.48679062
2.23,0.48712628
2.24,0.48745454
2.25,0.48777553
2.26,0.48808937
2.27,0.48839621
2.28,0.48869616
2.29,0.48898934
2.3,0.48927589
2.31,0.48955592
2.32,0.48982956
2.33,0.49009692
2.34,0.49035813
2.35,0.49061329
2.36,0.49086253
2.37,0.49110596
2.38,0.49134368
2.39,0.49157581
2.4,0.49180246
2.41,0.49202374
2.42,0.49223975
2.43,0.49245059
2.44,0.49265637
2.45,0.49285719
2.46,0.49305315
2.47,0.49324435
2.48,0.49343088
2.49,0.49361285
2.5,0.49379033
2.51,0.49396344
2.52,0.49413226
2.53,0.49429687
2.54,0.49445738
2.55,0.49461385
2.56,0.49476639
2.57,0.49491507
2.58,0.49505998
2.59,0.4952012
2.6,0.49533881
2.61,0.49547289
2.62,0.49560351
2.63,0.49573076
2.64,0.4958547
2.65,0.49597541
2.66,0.49609297
2.67,0.49620744
2.68,0.49631889
2.69,0.4964274
2.7,0.49653303
2.71,0.49663584
2.72,0.4967359
2.73,0.49683328
2.74,0.49692804
2.75,0.49702024
2.76,0.49710993
2.77,0.49719719
2.78,0.49728206
2.79,0.4973646
2.8,0.49744487
2.81,0.49752293
2.82,0.49759882
2.83,0.4976726
2.84,0.49774432
2.85,0.49781404
2.86,0.49788179
2.87,0.49794764
2.88,0.49801162
2.89,0.49807379
2.9,0.49813419
2.91,0.49819286
2.92,0.49824984
2.93,0.49830519
2.94,0.49835894
2.95,0.49841113
2.96,0.4984618
2.97,0.498511
2.98,0.49855876
2.99,0.49860511
3.0,0.4986501
3.01,0.49869376
3.02,0.49873613
3.03,0.49877723
3.04,0.49881711
3.05,0.49885579
3.06,0.49889332
3.07,0.49892971
3.08,0.498965
3.09,0.49899922
3.1,0.4990324
3.11,0.49906456
3.12,0.49909574
3.13,0.49912597
3.14,0.49915526
3.15,0.49918365
3.16,0.49921115
3.17,0.49923781
3.18,0.49926362
3.19,0.49928864
3.2,0.49931286
3.21,0.49933633
3.22,0.49935905
3.23,0.49938105
3.24,0.49940235
3.25,0.49942297
3.26,0.49944294
3.27,0.49946226
3.28,0.49948096
3.29,0.49949906
3.3,0.49951658
3.31,0.49953352
3.32,0.49954991
3.33,0.49956577
3.34,0.49958111
3.35,0.49959594
3.36,0.49961029
3.37,0.49962416
3.38,0.49963757
3.39,0.49965054
3.4,0.49966307
3.41,0.49967519
3.42,0.49968689
3.43,0.49969821
3.44,0.49970914
3.45,0.49971971
3.46,0.49972991
3.47,0.49973977
3.48,0.49974929
3.49,0.49975849
3.5,0.49976737
3.51,0.49977595
3.52,0.49978423
3.53,0.49979222
3.54,0.49979994
3.55,0.49980738
3.56,0.49981457
3.57,0.49982151
3.58,0.4998282
3.59,0.49983466
3.6,0.49984089
3.61,0.4998469
3.62,0.4998527
3.63,0.49985829
3.64,0.49986368
3.65,0.49986888
3.66,0.49987389
3.67,0.49987872
3.68,0.49988338
3.69,0.49988787
3.7,0.4998922
3.71,0.49989637
3.72,0.49990039
3.73,0.49990426
3.74,0.49990799
3.75,0.49991158
3.76,0.49991504
3.77,0.49991838
3.78,0.49992159
3.79,0.49992468
3.8,0.49992765
3.81,0.49993052
3.82,0.49993327
3.83,0.49993593
3.84,0.49993848
3.85,0.49994094
3.86,0.49994331
3.87,0.49994558
3.88,0.49994777
3.89,0.49994988
3.9,0.4999519
3.91,0.49995385
3.92,0.49995573
3.93,0.49995753
3.94,0.49995926
3.95,0.49996092
3.96,0.49996253
3.97,0.49996406
3.98,0.49996554
3.99,0.49996696
4.0,0.49996833
4.01,0.49996964
4.02,0.4999709
4.03,0.49997211
4.04,0.49997327
4.05,0.49997439
4.06,0.49997546
4.07,0.49997649
4.08,0.49997748
4.09,0.49997843
4.1,0.49997934
4.11,0.49998022
4.12,0.49998106
4.13,0.49998186
4.14,0.49998263
4.15,0.49998338
4.16,0.49998409
4.17,0.49998477
4.18,0.49998542
4.19,0.49998605
4.2,0.49998665
4.21,0.49998723
4.22,0.49998778
4.23,0.49998832
4.24,0.49998882
4.25,0.49998931
4.26,0.49998978
4.27,0.49999023
4.28,0.49999066
4.29,0.49999107
4.3,0.49999146
4.31,0.49999184
4.32,0.4999922
4.33,0.49999254
4.34,0.49999288
4.35,0.49999319
4.36,0.4999935
4.37,0.49999379
4.38,0.49999407
4.39,0.49999433
4.4,0.49999459
4.41,0.49999483
4.42,0.49999506
4.43,0.49999529
4.44,0.4999955
4.45,0.49999571
4.46,0.4999959
4.47,0.49999609
4.48,0.49999627
4.49,0.49999644
4.5,0.4999966
4.51,0.49999676
4.52,0.49999691
4.53,0.49999705
4.54,0.49999719
4.55,0.49999732
4.56,0.49999744
4.57,0.49999756
4.58,0.49999768
4.59,0.49999778
4.6,0.49999789
4.61,0.49999799
4.62,0.49999808
4.63,0.49999817
4.64,0.49999826
4.65,0.49999834
4.66,0.49999842
4.67,0.49999849
4.68,0.49999857
4.69,0.49999863
4.7,0.4999987
4.71,0.49999876
4.72,0.49999882
4.73,0.49999888
4.74,0.49999893
4.75,0.49999898
4.76,0.49999903
4.77,0.49999908
4.78,0.49999912
4.79,0.49999917
4.8,0.49999921
4.81,0.49999925
4.82,0.49999928
4.83,0.49999932
4.84,0.49999935
4.85,0.49999938
4.86,0.49999941
4.87,0.49999944
4.88,0.49999947
4.89,0.4999995
4.9,0.49999952
4.91,0.49999954
4.92,0.49999957
4.93,0.49999959
4.94,0.49999961
4.95,0.49999963
4.96,0.49999965
4.97,0.49999967
4.98,0.49999968
4.99,0.4999997
5.0,0.49999971
